,feature,source
2103,admit,power
2104,announce,power
2105,appeal,power
2106,ask,power
2107,attend,power
2108,await,power
2109,become,power
2110,call,power
2111,concede,power
2112,contribute,power
2113,explain,power
2114,fan,power
2115,fear,power
2116,guard,power
2117,hear,power
2118,listen,power
2119,note,power
2120,owe,power
2121,prefer,power
2122,receive,power
2123,recognize,power
2124,respond,power
2125,suffer,power
2126,thank,power
2127,trace,power
2128,trust,power
2129,witness,power
0,accepting,communality
1,affectionate,communality
2,agreeable,communality
3,altruism,communality
4,altruistic,communality
5,attachment,communality
6,belonging,communality
7,benevolence,communality
8,caretake,communality
9,caring,communality
10,cheerful,communality
11,civility,communality
12,closeness,communality
13,communal,communality
14,communicative,communality
15,compassion,communality
16,compassionate,communality
17,compromising,communality
18,connected,communality
19,connections,communality
20,conscientious,communality
21,considerate,communality
22,consideration,communality
23,cooperation,communality
24,cooperative,communality
25,dependable,communality
26,dependency,communality
27,dependent,communality
28,duty,communality
29,easygoing,communality
30,enthusiastic,communality
31,equality,communality
32,fair,communality
33,faithful,communality
34,flexible,communality
35,forgiveness,communality
36,forgiving,communality
37,friendliness,communality
38,friendly,communality
39,generous,communality
40,gentle,communality
41,good,communality
42,gracious,communality
43,harmony,communality
44,helpful,communality
45,honest,communality
46,honesty,communality
47,hospitable,communality
48,humble,communality
49,humility,communality
50,influence,communality
51,interdependent,communality
52,interpersonal,communality
53,just,communality
54,kind,communality
55,love,communality
56,loyal,communality
57,loyalty,communality
58,moral,communality
59,nice,communality
60,nurture,communality
61,obliging,communality
62,optimistic,communality
63,patient,communality
64,pleasant,communality
65,polite,communality
66,politeness,communality
67,popular,communality
68,reasonable,communality
69,reliable,communality
70,respectful,communality
71,selfless,communality
72,sensitivity,communality
73,sincere,communality
74,sociable,communality
75,social,communality
76,supportive,communality
77,sympathetic,communality
78,talkative,communality
79,thoughtful,communality
80,tolerant,communality
81,trust,communality
82,trusting,communality
83,trustworthy,communality
84,truthful,communality
85,understanding,communality
86,universalism,communality
87,warm,communality
88,warmth,communality
89,welcoming,communality
90,wise,communality
0,achievement,agency
1,active,agency
2,adamant,agency
3,aggressive,agency
4,ambition,agency
5,ambitious,agency
6,analytical,agency
7,assert,agency
8,assertive,agency
9,assertiveness,agency
10,assured,agency
11,autonomous,agency
12,autonomy,agency
13,bold,agency
14,bossy,agency
15,brave,agency
16,brilliant,agency
17,capability,agency
18,capable,agency
19,clever,agency
20,command,agency
21,competence,agency
22,competent,agency
23,competitive,agency
24,competitiveness,agency
25,confidence,agency
26,confident,agency
27,convincing,agency
28,creative,agency
29,cunning,agency
30,daring,agency
31,decisive,agency
32,determined,agency
33,diligent,agency
34,direct,agency
35,dominant,agency
36,dynamic,agency
37,educated,agency
38,effective,agency
39,efficient,agency
40,egocentric,agency
41,energetic,agency
42,exploration,agency
43,fast,agency
44,freedom,agency
45,hardworking,agency
46,imaginative,agency
47,independence,agency
48,independent,agency
49,individual,agency
50,individualistic,agency
51,industrious,agency
52,ingenious,agency
53,insightful,agency
54,intellectual,agency
55,intelligent,agency
56,knowledgeable,agency
57,leader,agency
58,logical,agency
59,meticulous,agency
60,organised,agency
61,original,agency
62,outspoken,agency
63,perceptive,agency
64,persistent,agency
65,power,agency
66,powerful,agency
67,practical,agency
68,proud,agency
69,rational,agency
70,realist,agency
71,recognition,agency
72,resilient,agency
73,resourceful,agency
74,serious,agency
75,sharp,agency
76,smart,agency
77,status,agency
78,strong,agency
79,superiority,agency
80,tough,agency
81,unique,agency
82,unwavering,agency
83,vigorous,agency
0,homicide,Violence
1,scourge,Violence
2,unresolved,Violence
3,devastate,Violence
4,frustrate,Violence
5,intolerant,Violence
6,irritate,Violence
7,uncontrolled,Violence
8,uncorrected,Violence
9,witness,Violence
10,mele,Violence
11,dehumanise,Violence
12,nihilist,Violence
13,thievery,Violence
14,dissonance,Violence
15,victimize,Violence
16,puncher,Violence
17,terrorize,Violence
18,brutish,Violence
19,wipeout,Violence
20,behavior,Violence
21,bloodthirsty,Violence
22,destruct,Violence
23,wrongdoer,Violence
24,bestiality,Violence
25,detest,Violence
26,gunmen,Violence
27,abduct,Violence
28,abuse,Violence
29,accomplice,Violence
30,adversary,Violence
31,affect,Violence
32,affray,Violence
33,afraid,Violence
34,aggravate,Violence
35,aggressive,Violence
36,aggressor,Violence
37,agitate,Violence
38,allege,Violence
39,altercation,Violence
40,ambush,Violence
41,ammunition,Violence
42,anger,Violence
43,angry,Violence
44,anguish,Violence
45,animosity,Violence
46,annoy,Violence
47,anxiety,Violence
48,arm,Violence
49,army,Violence
50,arrest,Violence
51,arson,Violence
52,artillery,Violence
53,assailant,Violence
54,assault,Violence
55,atomic,Violence
56,attack,Violence
57,bad,Violence
58,bang,Violence
59,barbaric,Violence
60,battle,Violence
61,beast,Violence
62,beef,Violence
63,bite,Violence
64,bitter,Violence
65,blast,Violence
66,bleed,Violence
67,blood,Violence
68,bloodshed,Violence
69,bloody,Violence
70,bomb,Violence
71,bomber,Violence
72,brawl,Violence
73,bruise,Violence
74,brutal,Violence
75,brute,Violence
76,bullet,Violence
77,bully,Violence
78,burglary,Violence
79,burn,Violence
80,campaign,Violence
81,casualty,Violence
82,charge,Violence
83,collision,Violence
84,combat,Violence
85,command,Violence
86,complain,Violence
87,conflict,Violence
88,confront,Violence
89,consequence,Violence
90,convict,Violence
91,corrupt,Violence
92,crass,Violence
93,craze,Violence
94,crime,Violence
95,criminal,Violence
96,cruel,Violence
97,crusade,Violence
98,crush,Violence
99,cry,Violence
100,culprit,Violence
101,cult,Violence
102,cut,Violence
103,damage,Violence
104,danger,Violence
105,dead,Violence
106,death,Violence
107,decease,Violence
108,defeat,Violence
109,defend,Violence
110,demeaning,Violence
111,demise,Violence
112,demolish,Violence
113,demolition,Violence
114,denigrate,Violence
115,deploy,Violence
116,deprive,Violence
117,despair,Violence
118,destroy,Violence
119,detention,Violence
120,detriment,Violence
121,die,Violence
122,differ,Violence
123,difficult,Violence
124,disagree,Violence
125,discontent,Violence
126,disgrace,Violence
127,disgust,Violence
128,disillusioned,Violence
129,displeasure,Violence
130,dispute,Violence
131,dissatisfaction,Violence
132,distress,Violence
133,domestic,Violence
134,dread,Violence
135,elicit,Violence
136,encounter,Violence
137,endanger,Violence
138,enemy,Violence
139,escalate,Violence
140,evasive,Violence
141,execute,Violence
142,explode,Violence
143,explosive,Violence
144,extreme,Violence
145,fatal,Violence
146,fear,Violence
147,felon,Violence
148,felony,Violence
149,fierce,Violence
150,fight,Violence
151,fire,Violence
152,foe,Violence
153,force,Violence
154,fought,Violence
155,fright,Violence
156,fury,Violence
157,gang,Violence
158,gash,Violence
159,gore,Violence
160,grab,Violence
161,grave,Violence
162,grenade,Violence
163,grief,Violence
164,grievous,Violence
165,guard,Violence
166,gun,Violence
167,gunman,Violence
168,gunshot,Violence
169,hack,Violence
170,hamstring,Violence
171,harass,Violence
172,harm,Violence
173,harsh,Violence
174,hassle,Violence
175,hate,Violence
176,hatred,Violence
177,hit,Violence
178,horrific,Violence
179,hostile,Violence
180,human,Violence
181,hurt,Violence
182,hysterical,Violence
183,imperialist,Violence
184,imprison,Violence
185,impulse,Violence
186,incident,Violence
187,incite,Violence
188,increase,Violence
189,inexplicable,Violence
190,inflame,Violence
191,inflict,Violence
192,injure,Violence
193,injury,Violence
194,inmate,Violence
195,intend,Violence
196,intent,Violence
197,intimidate,Violence
198,invasive,Violence
199,investigate,Violence
200,irate,Violence
201,ire,Violence
202,issue,Violence
203,jab,Violence
204,jail,Violence
205,jealousy,Violence
206,jihad,Violence
207,kick,Violence
208,kidnap,Violence
209,kill,Violence
210,knife,Violence
211,law,Violence
212,loot,Violence
213,lose,Violence
214,loss,Violence
215,machete,Violence
216,mad,Violence
217,maim,Violence
218,mangle,Violence
219,mayhem,Violence
220,mean,Violence
221,meaningless,Violence
222,menace,Violence
223,military,Violence
224,mindless,Violence
225,missile,Violence
226,mistrust,Violence
227,molest,Violence
228,munition,Violence
229,murder,Violence
230,mutilate,Violence
231,nuclear,Violence
232,obliterate,Violence
233,offence,Violence
234,offend,Violence
235,onslaught,Violence
236,oppose,Violence
237,opposite,Violence
238,oppress,Violence
239,oppressor,Violence
240,outburst,Violence
241,outrage,Violence
242,pain,Violence
243,passion,Violence
244,peril,Violence
245,perpetrate,Violence
246,person,Violence
247,pointless,Violence
248,poison,Violence
249,police,Violence
250,power,Violence
251,prejudice,Violence
252,pressure,Violence
253,prey,Violence
254,prison,Violence
255,protest,Violence
256,provoke,Violence
257,punch,Violence
258,puncture,Violence
259,push,Violence
260,racism,Violence
261,racist,Violence
262,radical,Violence
263,rage,Violence
264,raid,Violence
265,ram,Violence
266,rampage,Violence
267,rape,Violence
268,rapist,Violence
269,raze,Violence
270,rebel,Violence
271,red,Violence
272,resent,Violence
273,riot,Violence
274,rip,Violence
275,risk,Violence
276,robbery,Violence
277,roughshod,Violence
278,round,Violence
279,ruin,Violence
280,ruthless,Violence
281,savage,Violence
282,scene,Violence
283,scrape,Violence
284,scream,Violence
285,screech,Violence
286,scuffle,Violence
287,senseless,Violence
288,sentence,Violence
289,serious,Violence
290,severed,Violence
291,sexual,Violence
292,shameless,Violence
293,shoot,Violence
294,shot,Violence
295,shout,Violence
296,showdown,Violence
297,shrapnel,Violence
298,shriek,Violence
299,sicken,Violence
300,slash,Violence
301,slay,Violence
302,slice,Violence
303,smash,Violence
304,snap,Violence
305,snipe,Violence
306,soldier,Violence
307,spite,Violence
308,spree,Violence
309,stab,Violence
310,strength,Violence
311,stress,Violence
312,strike,Violence
313,struck,Violence
314,struggle,Violence
315,suffer,Violence
316,suicide,Violence
317,suspect,Violence
318,swing,Violence
319,target,Violence
320,tear,Violence
321,tense,Violence
322,tension,Violence
323,terror,Violence
324,terrorist,Violence
325,theft,Violence
326,thief,Violence
327,threat,Violence
328,threaten,Violence
329,thrust,Violence
330,traffic,Violence
331,trauma,Violence
332,trial,Violence
333,troop,Violence
334,trouble,Violence
335,undercut,Violence
336,unease,Violence
337,unhappy,Violence
338,unpredictable,Violence
339,unruly,Violence
340,unsafe,Violence
341,useless,Violence
342,vandal,Violence
343,vehement,Violence
344,vicious,Violence
345,victim,Violence
346,violence,Violence
347,violent,Violence
348,war,Violence
349,warfare,Violence
350,warhead,Violence
351,weapon,Violence
352,weaponry,Violence
353,wild,Violence
354,worry,Violence
355,worse,Violence
356,worst,Violence
357,wound,Violence
358,wrath,Violence
359,yell,Violence
0,alluring,Apperance
1,voluptuous,Apperance
2,blushing,Apperance
3,homely,Apperance
4,plump,Apperance
5,sensual,Apperance
6,gorgeous,Apperance
7,slim,Apperance
8,bald,Apperance
9,athletic,Apperance
10,fashionable,Apperance
11,stout,Apperance
12,ugly,Apperance
13,muscular,Apperance
14,slender,Apperance
15,feeble,Apperance
16,handsome,Apperance
17,healthy,Apperance
18,attractive,Apperance
19,fat,Apperance
20,weak,Apperance
21,thin,Apperance
22,pretty,Apperance
23,beautiful,Apperance
24,strong,Apperance
0,daughter,Occupation_1
1,businesswoman,Occupation_2
2,girl,Occupation_3
3,actress,Occupation_4
4,chairwoman,Occupation_5
5,heroine,Occupation_6
6,mother,Occupation_7
7,spokeswoman,Occupation_8
8,sister,Occupation_9
9,girls,Occupation_10
10,sisters,Occupation_11
11,queen,Occupation_12
12,niece,Occupation_13
13,councilwoman,Occupation_14
14,motherhood,Occupation_15
15,women,Occupation_16
16,petite,Occupation_17
17,ovarian_cancer,Occupation_18
18,Anne,Occupation_19
19,schoolgirl,Occupation_20
20,granddaughter,Occupation_21
21,aunt,Occupation_22
22,matriarch,Occupation_23
23,twin_sister,Occupation_24
24,mom,Occupation_25
25,lesbian,Occupation_26
26,husband,Occupation_27
27,gal,Occupation_28
28,lady,Occupation_29
29,sorority,Occupation_30
30,mothers,Occupation_31
31,grandmother,Occupation_32
32,blouse,Occupation_33
33,soprano,Occupation_34
34,queens,Occupation_35
35,daughters,Occupation_36
36,grandma,Occupation_37
37,volleyball,Occupation_38
38,diva,Occupation_39
39,mommy,Occupation_40
40,hairdresser,Occupation_41
41,softball,Occupation_42
42,goddess,Occupation_43
43,waitress,Occupation_44
44,princess,Occupation_45
45,filly,Occupation_46
46,mare,Occupation_47
47,ladies,Occupation_48
48,childhood,Occupation_49
49,interior_designer,Occupation_50
50,nun,Occupation_51
51,wig,Occupation_52
52,granddaughters,Occupation_53
53,girlfriends,Occupation_54
54,gals,Occupation_55
55,aunts,Occupation_56
56,congresswoman,Occupation_57
57,feminism,Occupation_58
58,bitch,Occupation_59
59,hers,Occupation_60
60,bra,Occupation_61
61,moms,Occupation_62
62,nurse,Occupation_63
63,heiress,Occupation_64
64,feminine,Occupation_65
65,glamorous,Occupation_66
66,actresses,Occupation_67
67,registered_nurse,Occupation_68
68,cupcakes,Occupation_69
69,blond,Occupation_70
70,babe,Occupation_71
71,mums,Occupation_72
72,gorgeous,Occupation_73
73,compatriot,Occupation_74
74,fabulous,Occupation_75
75,breast,Occupation_76
76,starlet,Occupation_77
77,Laurie,Occupation_78
78,kids,Occupation_79
79,sewing,Occupation_80
80,kinda,Occupation_81
81,headscarf,Occupation_82
82,siblings,Occupation_83
83,charming,Occupation_84
84,sassy,Occupation_85
85,cosmetics,Occupation_86
86,estrogen,Occupation_87
87,handbag,Occupation_88
88,housewife,Occupation_89
89,fillies,Occupation_90
90,nieces,Occupation_91
91,whore,Occupation_92
92,boyfriend,Occupation_93
93,salon,Occupation_94
94,Latonya,Occupation_95
95,vagina,Occupation_96
96,breast_cancer,Occupation_97
97,vocalist,Occupation_98
98,me,Occupation_99
99,children,Occupation_100
100,adorable,Occupation_101
101,giggling,Occupation_102
102,cheerful,Occupation_103
103,lovely,Occupation_104
104,giggle,Occupation_105
105,bras,Occupation_106
106,wedding_dress,Occupation_107
107,singer,Occupation_108
108,netball,Occupation_109
109,rebounder,Occupation_110
110,vocalists,Occupation_111
111,nude,Occupation_112
112,beautiful,Occupation_113
113,feisty,Occupation_114
114,feminists,Occupation_115
115,nanny,Occupation_116
116,females,Occupation_117
117,pediatrician,Occupation_118
118,teenage_girls,Occupation_119
119,pink,Occupation_120
120,convent,Occupation_121
121,midwife,Occupation_122
122,feminist,Occupation_123
123,gown,Occupation_124
124,blonde,Occupation_125
125,stepdaughter,Occupation_126
126,wonderful,Occupation_127
127,breasts,Occupation_128
128,luscious,Occupation_129
129,judgmental,Occupation_130
130,skirts,Occupation_131
131,middle_aged,Occupation_132
132,spokespeople,Occupation_133
133,female,Occupation_134
134,beauty,Occupation_135
135,salesperson,Occupation_136
136,witch,Occupation_137
137,male_counterparts,Occupation_138
138,violinist,Occupation_139
139,practicality,Occupation_140
140,boobs,Occupation_141
141,dolls,Occupation_142
142,husbands,Occupation_143
143,ponytail,Occupation_144
144,sexism,Occupation_145
145,mammogram,Occupation_146
146,sweater,Occupation_147
147,hysterical,Occupation_148
148,uterus,Occupation_149
149,rehearse,Occupation_150
150,classmates,Occupation_151
151,stroller,Occupation_152
152,presenter,Occupation_153
153,friends,Occupation_154
154,dresses,Occupation_155
155,eating_disorders,Occupation_156
156,kindness,Occupation_157
157,cute,Occupation_158
158,sobbed,Occupation_159
159,baking,Occupation_160
160,sweaters,Occupation_161
161,crafting,Occupation_162
162,nuns,Occupation_163
163,lesbians,Occupation_164
164,guidance_counselor,Occupation_165
165,terrifying,Occupation_166
166,libero,Occupation_167
167,classmate,Occupation_168
168,underclassmen,Occupation_169
169,pianist,Occupation_170
170,boyfriends,Occupation_171
171,teenager,Occupation_172
172,giggles,Occupation_173
173,gender,Occupation_174
174,hair_salon,Occupation_175
175,pitcher,Occupation_176
176,lovers,Occupation_177
177,lingerie,Occupation_178
178,kittens,Occupation_179
179,latex,Occupation_180
180,dress,Occupation_181
181,alluring,Occupation_182
182,buns,Occupation_183
183,cosmetic_surgery,Occupation_184
184,foal,Occupation_185
185,sexy,Occupation_186
186,delightful,Occupation_187
187,cubs,Occupation_188
188,self_esteem,Occupation_189
189,rower,Occupation_190
190,bingo,Occupation_191
191,figure_skating,Occupation_192
192,stepmother,Occupation_193
193,swimwear,Occupation_194
194,teen,Occupation_195
195,gymnastics,Occupation_196
196,tissues,Occupation_197
197,enchanting,Occupation_198
198,hooker,Occupation_199
199,graphic_designer,Occupation_200
200,layups,Occupation_201
201,sophomores,Occupation_202
202,singers,Occupation_203
203,backcourt,Occupation_204
204,hugs,Occupation_205
205,sexist,Occupation_206
206,cheesecake,Occupation_207
207,sultry,Occupation_208
208,silicone,Occupation_209
209,gymnasts,Occupation_210
210,ribbons,Occupation_211
211,captivating,Occupation_212
212,gymnast,Occupation_213
213,cried,Occupation_214
214,ethereal,Occupation_215
215,cats,Occupation_216
216,implants,Occupation_217
217,cougar,Occupation_218
218,fiance,Occupation_219
219,cheery,Occupation_220
220,servicemen,Occupation_221
221,hair,Occupation_222
222,sophomore,Occupation_223
223,midwives,Occupation_224
224,chairperson,Occupation_225
225,meter_hurdles,Occupation_226
226,scream,Occupation_227
227,glam,Occupation_228
228,terrified,Occupation_229
229,shrill,Occupation_230
230,lupus,Occupation_231
231,uptight,Occupation_232
232,hubby,Occupation_233
233,exclaimed,Occupation_234
234,choreography,Occupation_235
235,veil,Occupation_236
236,panties,Occupation_237
237,gowns,Occupation_238
238,designers,Occupation_239
239,foul_trouble,Occupation_240
240,amazing,Occupation_241
241,artistry,Occupation_242
242,sensual,Occupation_243
243,campers,Occupation_244
244,Allison,Occupation_245
245,freaking,Occupation_246
246,intuition,Occupation_247
247,eating_disorder,Occupation_248
248,frontcourt,Occupation_249
249,hostess,Occupation_250
250,child_endangerment,Occupation_251
251,masculine,Occupation_252
252,novelist,Occupation_253
253,putback,Occupation_254
254,ex_boyfriend,Occupation_255
255,incredibly,Occupation_256
256,beautify,Occupation_257
257,designed,Occupation_258
258,mares,Occupation_259
259,satin,Occupation_260
260,hurler,Occupation_261
261,bun,Occupation_262
262,heartbreaking,Occupation_263
263,romantic_comedy,Occupation_264
264,fourteen,Occupation_265
265,flight_attendant,Occupation_266
266,cupcake,Occupation_267
267,glitter,Occupation_268
268,sobbing,Occupation_269
269,unassisted_goal,Occupation_270
270,memoir,Occupation_271
271,cigarette,Occupation_272
272,animal_cruelty,Occupation_273
273,baby,Occupation_274
274,outfits,Occupation_275
275,bride,Occupation_276
276,sprinter,Occupation_277
277,estranged_husband,Occupation_278
278,singer_songwriter,Occupation_279
279,entrepreneurs,Occupation_280
280,grad,Occupation_281
281,lover,Occupation_282
282,celebrities,Occupation_283
283,kissing,Occupation_284
284,auditions,Occupation_285
285,backstretch,Occupation_286
286,pregnancy,Occupation_287
287,librarian,Occupation_288
288,anime,Occupation_289
289,heartbroken,Occupation_290
290,cervical_cancer,Occupation_291
291,regionals,Occupation_292
292,Carrie,Occupation_293
293,teenage_girl,Occupation_294
294,coworkers,Occupation_295
295,sergeants,Occupation_296
296,paralegal,Occupation_297
297,stressful,Occupation_298
298,duets,Occupation_299
299,plucky,Occupation_300
300,realtor,Occupation_301
301,cocktails,Occupation_302
302,closets,Occupation_303
303,doubleheader,Occupation_304
304,thighs,Occupation_305
305,wellness,Occupation_306
306,giant_slalom,Occupation_307
307,neurotic,Occupation_308
308,coordinator,Occupation_309
309,antiques,Occupation_310
310,dancers,Occupation_311
311,layup,Occupation_312
312,manga,Occupation_313
313,horrified,Occupation_314
314,empowering,Occupation_315
315,creepy,Occupation_316
316,insecurities,Occupation_317
317,middle_blocker,Occupation_318
318,adored,Occupation_319
319,exercises,Occupation_320
320,skirted,Occupation_321
321,jewelry,Occupation_322
322,choral,Occupation_323
323,confided,Occupation_324
324,dermatologist,Occupation_325
325,attractiveness,Occupation_326
326,housekeeper,Occupation_327
327,thyroid,Occupation_328
328,vocals,Occupation_329
329,scarf,Occupation_330
330,burlesque,Occupation_331
331,athlete,Occupation_332
332,chic,Occupation_333
333,cerebral_palsy,Occupation_334
334,horrid,Occupation_335
335,transgender,Occupation_336
336,clique,Occupation_337
337,pampering,Occupation_338
338,associate_professor,Occupation_339
339,sexuality,Occupation_340
340,reunite,Occupation_341
341,caring,Occupation_342
342,freshman,Occupation_343
343,plunging,Occupation_344
344,spokesperson,Occupation_345
345,prostitution,Occupation_346
346,characters,Occupation_347
347,therapist,Occupation_348
348,maids,Occupation_349
349,mama,Occupation_350
350,delightfully,Occupation_351
351,boutiques,Occupation_352
352,hormonal,Occupation_353
353,puppy,Occupation_354
354,pinch_runner,Occupation_355
355,behaviors,Occupation_356
356,appalled,Occupation_357
357,forms,Occupation_358
358,nonprofit,Occupation_359
359,tamoxifen,Occupation_360
360,mysterious,Occupation_361
361,maternity,Occupation_362
362,mentors,Occupation_363
363,worker,Occupation_364
364,anorexia,Occupation_365
365,critters,Occupation_366
366,feline,Occupation_367
367,stereotype,Occupation_368
368,starvation,Occupation_369
369,fairy,Occupation_370
370,gossip,Occupation_371
371,confesses,Occupation_372
372,activists,Occupation_373
373,flower,Occupation_374
374,contests,Occupation_375
375,procuring,Occupation_376
376,silver_medalist,Occupation_377
377,purse,Occupation_378
378,nurses,Occupation_379
379,sectionals,Occupation_380
380,refill,Occupation_381
381,inadequate,Occupation_382
382,prettiest,Occupation_383
383,seatbelt,Occupation_384
384,rehearsal,Occupation_385
385,interns,Occupation_386
386,adds,Occupation_387
387,harmonies,Occupation_388
388,comfy,Occupation_389
389,menopause,Occupation_390
390,scripture,Occupation_391
391,cries,Occupation_392
392,experimenting,Occupation_393
393,underweight,Occupation_394
394,holistic_approach,Occupation_395
395,costumes,Occupation_396
396,curves,Occupation_397
397,bartender,Occupation_398
398,seductive,Occupation_399
399,clarinet,Occupation_400
400,transformative,Occupation_401
401,ok,Occupation_402
402,unusual,Occupation_403
403,osteoporosis,Occupation_404
404,screams,Occupation_405
405,incumbents,Occupation_406
406,baseman,Occupation_407
407,strawberry,Occupation_408
408,steals,Occupation_409
409,walker,Occupation_410
410,cook,Occupation_411
411,workshop,Occupation_412
412,elegance,Occupation_413
413,emotionally,Occupation_414
414,beloved,Occupation_415
415,breast_milk,Occupation_416
416,minivan,Occupation_417
417,complainants,Occupation_418
418,knitting,Occupation_419
419,artisans,Occupation_420
420,strollers,Occupation_421
421,caseload,Occupation_422
422,smile,Occupation_423
423,helpful,Occupation_424
424,caretakers,Occupation_425
425,blokes,Occupation_426
426,provocative,Occupation_427
427,ultrasound,Occupation_428
428,colorful,Occupation_429
429,counselor,Occupation_430
430,borrower,Occupation_431
431,brightness,Occupation_432
432,staffing,Occupation_433
433,overwhelmed,Occupation_434
434,bowlers,Occupation_435
435,bunny,Occupation_436
436,devotion,Occupation_437
437,advocates,Occupation_438
438,brides,Occupation_439
439,cigarettes,Occupation_440
440,dancer,Occupation_441
441,relationships,Occupation_442
442,attitudes,Occupation_443
443,strives,Occupation_444
444,bearish,Occupation_445
445,deadlines,Occupation_446
446,proponents,Occupation_447
447,pitchers,Occupation_448
448,carriages,Occupation_449
449,shortstop,Occupation_450
450,exhibit,Occupation_451
451,credit_crunch,Occupation_452
452,watchers,Occupation_453
453,hitter,Occupation_454
454,scary,Occupation_455
455,silver_medals,Occupation_456
456,expiration_date,Occupation_457
457,tenacious,Occupation_458
458,gosh,Occupation_459
459,bright_colors,Occupation_460
460,retro,Occupation_461
461,underpass,Occupation_462
462,thrilled,Occupation_463
463,warship,Occupation_464
464,resignations,Occupation_465
465,reaffirmed,Occupation_466
466,technical_fouls,Occupation_467
467,sheets,Occupation_468
468,makeover,Occupation_469
469,bookkeeper,Occupation_470
470,callous,Occupation_471
471,dignified,Occupation_472
472,elegantly,Occupation_473
473,foods,Occupation_474
474,cashier,Occupation_475
475,assistant_professor,Occupation_476
476,downsize,Occupation_477
477,details,Occupation_478
478,healthful,Occupation_479
479,luminous,Occupation_480
480,charm,Occupation_481
481,pastry,Occupation_482
482,free_throws,Occupation_483
483,naysayers,Occupation_484
484,embryo,Occupation_485
485,stalker,Occupation_486
486,hormones,Occupation_487
487,irresponsibility,Occupation_488
488,intangible_assets,Occupation_489
489,descriptive,Occupation_490
490,screamed,Occupation_491
491,manipulative,Occupation_492
492,audio_replay,Occupation_493
493,son,Occupation_1
494,businessman,Occupation_2
495,boy,Occupation_3
496,actor,Occupation_4
497,chairman,Occupation_5
498,hero,Occupation_6
499,father,Occupation_7
500,spokesman,Occupation_8
501,brother,Occupation_9
502,boys,Occupation_10
503,brothers,Occupation_11
504,king,Occupation_12
505,nephew,Occupation_13
506,councilman,Occupation_14
507,fatherhood,Occupation_15
508,men,Occupation_16
509,lanky,Occupation_17
510,prostate_cancer,Occupation_18
511,John,Occupation_19
512,schoolboy,Occupation_20
513,grandson,Occupation_21
514,uncle,Occupation_22
515,patriarch,Occupation_23
516,twin_brother,Occupation_24
517,dad,Occupation_25
518,gay,Occupation_26
519,younger_brother,Occupation_27
520,dude,Occupation_28
521,gentleman,Occupation_29
522,fraternity,Occupation_30
523,fathers,Occupation_31
524,grandfather,Occupation_32
525,shirt,Occupation_33
526,baritone,Occupation_34
527,kings,Occupation_35
528,sons,Occupation_36
529,grandpa,Occupation_37
530,football,Occupation_38
531,superstar,Occupation_39
532,kid,Occupation_40
533,barber,Occupation_41
